Date,New Cases,New Deaths,New Hospitalizations,Est. Net Cases,Est. Net Hospitalizations,Est. Newly Recovered,Est. Current Cases,Cumulative Cases,Recovered Population,Accumulative Deaths,Hospitalized Population,Measured Current Infected,Measured Unhospitalized Infected,Hospitalization Likelihood,Death likelihood,Susceptible Population,True Unhospitalized Infected,True Current Infected,True Infection Rate,Measured Infection Rate,Hospitalization Rate,Closure Policy,nat_retail_recreation_mob,nat_grocery__pharmacy_mob,nat_parks_mob,nat_transit_mob,nat_workplaces_mob,nat_residential_mob,loc_retail_recreation_mob,loc_grocery__pharmacy_mob,loc_parks_mob,loc_transit_mob,loc_workplaces_mob,loc_residential_mob
2020-02-10 00:00:00,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,2038371,,1,1,1,1,No Closures,,,,,,,,,,,,
2020-02-11 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,,,,,,,,,,,,
2020-02-12 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,,,,,,,,,,,,
2020-02-13 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,,,,,,,,,,,,
2020-02-14 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,,,,,,,,,,,,
2020-02-15 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,6,4,6,4,3,-1,5,6,6,10,4,-2
2020-02-16 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,7,6,7,6,2,-1,7,7,5,11,2,-2
2020-02-17 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,2,4,3,5,11,-2,1,4,5,11,9,-2
2020-02-18 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,0,-1,3,2,9,-2,-1,2,6,10,7,-2
2020-02-19 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,0,0,2,3,8,-1,0,2,3,9,7,-2
2020-02-20 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,0,-1,2,3,7,-1,0,-1,3,9,6,-2
2020-02-21 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,-2,-2,-1,4,11,-1,-2,1,-4,9,8,-1
2020-02-22 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,0,0,7,4,4,0,-1,1,5,8,5,-1
2020-02-23 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,2,1,8,7,2,-1,3,2,5,9,3,-1
2020-02-24 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,-2,0,6,4,8,-1,-3,1,4,7,6,-1
2020-02-25 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,-2,-2,7,2,6,-1,-3,0,7,9,8,-1
2020-02-26 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,-3,-1,3,1,6,-1,-3,0,9,10,7,-2
2020-02-27 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,1,1,0,2,7,-1,0,1,0,12,7,-1
2020-02-28 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,3,6,3,6,12,-2,3,10,1,11,9,-2
2020-02-29 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,6,8,5,5,6,-1,5,11,5,14,7,-2
2020-03-01 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,6,9,7,7,3,-1,7,11,5,14,5,-2
2020-03-02 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,,1,0,0,0,No Closures,1,6,2,4,10,-2,0,7,4,12,10,-2
2020-03-03 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,2,3,2,0,0,No Closures,1,3,2,2,9,-2,0,6,4,13,8,-1
2020-03-04 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,3,4,1,0,0,No Closures,1,4,2,3,9,-1,0,5,3,12,8,-2
2020-03-05 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,4,5,1,0,0,No Closures,2,3,3,3,8,-1,2,2,2,14,8,-1
2020-03-06 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,6,7,2,0,0,No Closures,-1,0,0,3,12,-1,-1,2,-7,11,9,-1
2020-03-07 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,8.19143498348022,9.19143498348022,2.19143498348022,0,0,No Closures,1,2,4,2,6,0,0,4,2,12,7,-1
2020-03-08 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,10.2144002533176,11.2144002533176,2.02296526983736,0,0,No Closures,3,3,10,4,3,0,5,5,10,9,5,-1
2020-03-09 00:00:00,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2038371,7,8,-3.21440025331758,0,0,No Closures,-11,-6,-8,-17,-16,7,-13,-8,-8,-4,-18,8
2020-03-10 00:00:00,2,0,0,2,0,0,3,3,0,0,1,3,2,0.333333333333333,0,2038369,9.20673312954822,10.2067331295482,2.20673312954822,2,0,No Closures,-2,0,2,3,9,-2,-2,3,4,15,8,-2
2020-03-11 00:00:00,1,0,0,1,0,0,4,4,0,0,1,4,3,0.25,0,2038368,11,12,1.79326687045178,1,0,No Closures,-1,2,2,2,8,-1,-1,2,4,13,8,-2
2020-03-12 00:00:00,1,0,0,1,0,0,5,5,0,0,1,5,4,0.2,0,2038367,14,15,3,1,0,No Closures,1,4,3,3,8,-2,1,4,3,14,7,-2
2020-03-13 00:00:00,2,0,0,2,0,0,7,7,0,0,1,7,6,0.142857142857143,0,2038365,14,15,0,2,0,No Closures,2,6,3,5,5,-1,-2,6,-9,12,3,0
2020-03-14 00:00:00,1,0,0,1,0,0,8,8,0,0,1,8,7,0.125,0,2038364,15,16,1,1,0,No Closures,2,10,6,4,3,-1,0,9,-4,19,4,-2
2020-03-15 00:00:00,0,0,0,0,0,0,8,8,0,0,1,8,7,0.125,0,2038364,15,16,0,0,0,No Closures,0,7,6,-4,1,-1,2,9,5,3,3,-2
2020-03-16 00:00:00,0,0,0,0,0,0,8,8,0,0,1,8,7,0.125,0,2038364,20.268298622122,21.268298622122,5.26829862212205,0,0,No Closures,-11,5,-7,-30,-54,13,-13,3,-8,-15,-63,16
2020-03-17 00:00:00,2,0,0,2,0,0,10,10,0,0,1,10,9,0.1,0,2038362,22.122585723732,23.122585723732,1.85428710160993,2,0,No Closures,-7,5,-8,-9,-3,2,-7,11,-3,11,-5,2
2020-03-18 00:00:00,2,0,0,2,0,0,12,12,0,0,1,12,11,0.083333333333333,0,2038360,20,21,-2.12258572373197,2,0,No Closures,-13,3,-14,-17,-10,6,-15,1,-17,-5,-18,8
2020-03-19 00:00:00,3,0,0,3,0,0,15,15,0,0,1,15,14,0.066666666666667,0,2038357,19,20,-1,3,0,No Closures,-17,1,-16,-22,-14,7,-20,-3,-20,-10,-20,10
2020-03-20 00:00:00,0,0,0,0,0,0,15,15,0,0,1,15,14,0.066666666666667,0,2038357,19,20,0,0,0,No Closures,-23,-3,-22,-26,-14,9,-26,-2,-27,-16,-20,13
2020-03-21 00:00:00,1,0,0,1,0,0,16,16,0,0,1,16,15,0.0625,0,2038356,20,21,1,1,0,No Closures,-31,-7,-32,-29,-7,9,-33,-4,-35,-15,-7,10
2020-03-22 00:00:00,0,0,0,0,0,0,16,16,0,0,1,16,15,0.0625,0,2038356,21,22,1,0,0,No Closures,-37,-13,-37,-33,-10,8,-41,-15,-43,-22,-13,9
2020-03-23 00:00:00,3,0,1,3,1,0,19,19,0,0,2,19,17,0.105263157894737,0,2038353,29.0737945298879,31.0737945298879,9.07379452988794,3,1,No Closures,-31,-14,-30,-37,-29,12,-32,-15,-29,-20,-28,14
2020-03-24 00:00:00,4,0,0,2,0,2,21,23,2,0,2,21,19,0.095238095238095,0,2038349,31.5687559265258,33.5687559265258,2.49496139663783,2,0,No Closures,-35,-16,-33,-41,-34,14,-35,-15,-29,-23,-33,16
2020-03-25 00:00:00,2,0,0,1,0,1,22,25,3,0,2,22,20,0.090909090909091,0,2038347,28.3072724665796,30.3072724665796,-3.26148345994618,1,0,No Closures,-37,-16,-36,-44,-36,16,-36,-17,-33,-24,-34,16
